"","SA2_2016","Index1_point","Index1_lower","Index1_upper","Index1_Prob_PercentileAbove80","Index1_Prob_PercentileAbove95","Index1_Prob_PercentileAbove99","Index2_point","Index2_lower","Index2_upper","Index2_Prob_PercentileAbove80","Index2_Prob_PercentileAbove95","Index2_Prob_PercentileAbove99","Index3_point","Index3_lower","Index3_upper","Index3_Prob_PercentileAbove80","Index3_Prob_PercentileAbove95","Index3_Prob_PercentileAbove99","Index4_point","Index4_lower","Index4_upper","Index4_Prob_PercentileAbove80","Index4_Prob_PercentileAbove95","Index4_Prob_PercentileAbove99","Scores1_point","Scores1_lower","Scores1_upper","Scores2_point","Scores2_lower","Scores2_upper","Scores3_point","Scores3_lower","Scores3_upper","Scores4_point","Scores4_lower","Scores4_upper"
"1",601061034,56,25,85,0.070625,0.001875,0,79,54,99,0.466,0.064625,0.004125,76,52,97,0.371625,0.035125,0.001625,79,53,94,0.450625,0.00425,0,0.267124118238469,-0.424334406409266,0.943253404565863,1.06314310060718,-0.0099695688935336,2.06838003338364,0.708779892636875,0.0291515992009252,1.41497879942021,4537.25448271496,186.613962284723,9057.98678448845
"2",602011041,13,4,28,0,0,0,65,34,93,0.16625,0.009875,5e-04,42,14,69,0.004875,0,0,40,20,76,0.019875,0,0,-1.08347093875474,-1.93964151995164,-0.21664429858845,0.555034008963157,-0.557024102884602,1.7006574437334,-0.173575453722314,-0.931577787847544,0.610324703414989,-1336.09705502751,-7170.82002195647,4697.97440453688
"3",505031098,13,7,20,0,0,0,57,35,77,0.01275,0.000125,0,36,16,52,0,0,0,31,17,55,0.00075,0,0,-1.14150616957592,-1.7050282949928,-0.618458161129114,0.278425082242963,-0.485347627192867,1.02217645045828,-0.351782185607642,-0.890839557680905,0.134692970534046,-3400.50249717628,-8611.30058432247,1302.00959966736
"4",206021111,30,15,51,0,0,0,16,4,28,0,0,0,18,5,30,0,0,0,7,1,14,0,0,0,-0.313583773010758,-0.86498343291719,0.251217828611942,-1.3576118185656,-2.02241744569259,-0.70095408572878,-0.899873810299714,-1.34951851084037,-0.409750000297903,-20174.7208900144,-30255.5302537857,-9186.39013167883
"5",801091101,57,31,81,0.039375,0.00025,0,11,1,24,0,0,0,21,6,37,0,0,0,36,29,42,0,0,0,0.296686906814312,-0.272474801784327,0.827529773256993,-1.62683246365338,-2.43039293954963,-0.848076768398421,-0.774970129594059,-1.33581649739742,-0.254233533942947,-2188.51564597362,-3772.3457886503,-717.955499854883
"6",127021514,2,1,3,0,0,0,41,20,62,0,0,0,5,1,13,0,0,0,13,8,18,0,0,0,-3.13202639237262,-3.75670263886822,-2.41595988171777,-0.268858769392141,-1.09255491718329,0.498472755044302,-1.53598298211525,-2.12757143949464,-0.987106805218527,-13088.1109906041,-18129.0362359339,-8411.13708726706
"7",506021119,52,26,75,0.01425,0,0,21,6,37,0,0,0,29,12,46,0,0,0,21,9,40,0.000375,0,0,0.186278561827424,-0.372454582480821,0.698502977568046,-1.10830226315066,-1.86388231143054,-0.340913417196545,-0.535352163034977,-1.04980641837117,-0.0130662470316509,-7812.66179125094,-15320.3499664997,-190.682276056397
"8",121031411,49,27,71,0.00425,0,0,2,1,7,0,0,0,9,3,18,0,0,0,6,3,11,0,0,0,0.140250786715498,-0.336179136325607,0.623647229647017,-2.40753439434072,-3.06638331101159,-1.76517799976779,-1.27749593120037,-1.71479528965887,-0.82913039214418,-20731.2039715196,-27827.6979605841,-13455.1280037157
"9",601021011,21,7,48,0.000875,0,0,75,44,99,0.3865,0.06975,0.007,58,26,87,0.084125,0.0035,0,58,31,81,0.0435,0,0,-0.609825163670903,-1.48980861602368,0.230363643355057,0.918607807039758,-0.316971034741349,2.15031189581071,0.241117420544234,-0.614729752105403,1.05074154404676,1202.4525762541,-3065.65727374964,5240.04808016118
"10",405041124,57,30,84,0.055,0.00075,0,95,81,100,0.95225,0.43425,0.0575,90,75,100,0.861625,0.204375,0.01575,82,69,91,0.571625,0,0,0.296080526322087,-0.321339052861095,0.89573737159056,1.78532616787562,0.996216664082371,2.57470088129862,1.126673363789,0.567001603901455,1.68932190311212,5032.28657936358,2532.51266382585,7545.3562802503
