"","Sa2_main16","Sa2_5dig16","Sa2_name16","Ste_code16","Ste_name16","Areasqkm16","SA2","ps_area","SA3","SA4","state","ps_sa3","ps_sa4","ps_state"
"1","601061034","61034","Dodges Ferry - Lewisham","6","Tasmania",318.3924,601061034,1,60106,601,"6",1,1,6
"2","602011041","61041","Newnham - Mayfield","6","Tasmania",23.5924,602011041,2,60201,602,"6",2,2,6
"3","505031098","51098","Alexander Heights - Koondoola","5","Western Australia",6.7014,505031098,3,50503,505,"5",3,3,5
"4","206021111","21111","Northcote","2","Victoria",6.145,206021111,4,20602,206,"2",4,4,2
"5","801091101","81101","Farrer","8","Australian Capital Territory",2.0687,801091101,5,80109,801,"8",5,5,8
"6","127021514","11514","Edensor Park","1","New South Wales",3.0955,127021514,6,12702,127,"1",6,6,1
"7","506021119","51119","East Victoria Park - Carlisle","5","Western Australia",6.2709,506021119,7,50602,506,"5",7,7,5
"8","121031411","11411","Turramurra","1","New South Wales",20.6426,121031411,8,12103,121,"1",8,8,1
"9","601021011","61011","Rokeby","6","Tasmania",15.4231,601021011,9,60102,601,"6",9,1,6
"10","405041124","41124","Kadina","4","South Australia",394.1203,405041124,10,40504,405,"4",10,9,4
"11","111011213","11213","Valentine - Eleebana","1","New South Wales",9.9749,111011213,11,11101,111,"1",11,10,1
"12","116031319","11319","Rooty Hill - Minchinbury","1","New South Wales",14.6244,116031319,12,11603,116,"1",12,11,1
"13","111031233","11233","Wallsend - Elermore Vale","1","New South Wales",21.5199,111031233,13,11103,111,"1",13,10,1
"14","203031052","21052","Point Lonsdale - Queenscliff","2","Victoria",61.6734,203031052,14,20303,203,"2",14,12,2
"15","313021367","31367","Elimbah","3","Queensland",101.1794,313021367,15,31302,313,"3",15,13,3
"16","506061142","51142","Byford","5","Western Australia",29.3986,506061142,16,50606,506,"5",16,7,5
"17","316011414","31414","Buderim - South","3","Queensland",30.1384,316011414,17,31601,316,"3",17,14,3
"18","313051378","31378","Margate - Woody Point","3","Queensland",4.2806,313051378,18,31305,313,"3",18,13,3
"19","213051365","21365","Tarneit","2","Victoria",62.142,213051365,19,21305,213,"2",19,15,2
"20","105031100","11100","Dubbo - East","1","New South Wales",87.6912,105031100,20,10503,105,"1",20,16,1
"21","506031129","51129","Riverton - Shelley - Rossmoyne","5","Western Australia",6.4202,506031129,21,50603,506,"5",21,7,5
"22","401071024","41024","Unley - Parkside","4","South Australia",7.0726,401071024,22,40107,401,"4",22,17,4
"23","401071023","41023","Goodwood - Millswood","4","South Australia",7.1977,401071023,23,40107,401,"4",22,17,4
"24","507021166","51166","Fremantle - South","5","Western Australia",7.3037,507021166,24,50702,507,"5",23,18,5
"25","402051053","41053","Modbury Heights","4","South Australia",9.9089,402051053,25,40205,402,"4",24,19,4
"26","305031122","31122","Clayfield","3","Queensland",2.9262,305031122,26,30503,305,"3",25,20,3
"27","107031139","11139","Kiama Downs - Minnamurra","1","New South Wales",7.261,107031139,27,10703,107,"1",26,21,1
"28","108021160","11160","South West Rocks","1","New South Wales",45.9673,108021160,28,10802,108,"1",27,22,1
"29","504011048","51048","Noranda","5","Western Australia",4.9416,504011048,29,50401,504,"5",28,23,5
"30","315021405","31405","Mount Isa","3","Queensland",62.8098,315021405,30,31502,315,"3",29,24,3
"31","319031513","31513","Gympie - South","3","Queensland",26.7757,319031513,31,31903,319,"3",30,25,3
"32","407031165","41165","Murray Bridge","4","South Australia",97.5456,407031165,32,40703,407,"4",31,26,4
"33","309051244","31244","Mudgeeraba - Bonogin","3","Queensland",66.6425,309051244,33,30905,309,"3",32,27,3
"34","127031600","11600","Prestons - Edmondson Park","1","New South Wales",14.1323,127031600,34,12703,127,"1",33,6,1
"35","510031272","51272","Karratha","5","Western Australia",134.2041,510031272,35,51003,510,"5",34,28,5
"36","106011108","11108","Cessnock","1","New South Wales",68.9813,106011108,36,10601,106,"1",35,29,1
"37","801091103","81103","Hughes","8","Australian Capital Territory",1.7894,801091103,37,80109,801,"8",5,5,8
"38","801041040","81040","Gungahlin","8","Australian Capital Territory",4.5642,801041040,38,80104,801,"8",36,5,8
"39","207011147","21147","Balwyn","2","Victoria",5.585,207011147,39,20701,207,"2",37,30,2
"40","505021090","51090","Nollamara - Westminster","5","Western Australia",6.039,505021090,40,50502,505,"5",38,3,5
"41","604021085","61085","Devonport","6","Tasmania",10.2768,604021085,41,60402,604,"6",39,31,6
"42","114011279","11279","St Georges Basin - Erowal Bay","1","New South Wales",76.9396,114011279,42,11401,114,"1",40,32,1
"43","503011033","51033","Floreat","5","Western Australia",4.4196,503011033,43,50301,503,"5",41,33,5
"44","505031108","51108","Wanneroo","5","Western Australia",41.6742,505031108,44,50503,505,"5",3,3,5
"45","319031514","31514","Gympie Region","3","Queensland",2544.6625,319031514,45,31903,319,"3",30,25,3
"46","121021577","11577","Hornsby - East","1","New South Wales",2.5689,121021577,46,12102,121,"1",42,8,1
"47","404011095","41095","Seaton - Grange","4","South Australia",8.2533,404011095,47,40401,404,"4",43,34,4
"48","801071071","81071","Banks","8","Australian Capital Territory",2.2533,801071071,48,80107,801,"8",44,5,8
"49","601061035","61035","Sorell - Richmond","6","Tasmania",375.9341,601061035,49,60106,601,"6",1,1,6
"50","307011176","31176","Roma","3","Queensland",78.0284,307011176,50,30701,307,"3",45,35,3
"51","209031212","21212","Panton Hill - St Andrews","2","Victoria",292.1978,209031212,51,20903,209,"2",46,36,2
"52","111011212","11212","Swansea - Caves Beach","1","New South Wales",32.4069,111011212,52,11101,111,"1",11,10,1
"53","314021390","31390","North Lakes - Mango Hill","3","Queensland",27.1609,314021390,53,31402,314,"3",47,37,3
"54","801011008","81008","Florey","8","Australian Capital Territory",2.7554,801011008,54,80101,801,"8",48,5,8
"55","119011354","11354","Bass Hill - Georges Hall","1","New South Wales",8.9161,119011354,55,11901,119,"1",49,38,1
"56","118021568","11568","Maroubra - West","1","New South Wales",2.0464,118021568,56,11802,118,"1",50,39,1
"57","121021404","11404","Berowra - Brooklyn - Cowan","1","New South Wales",81.7548,121021404,57,12102,121,"1",42,8,1
"58","118021567","11567","Maroubra - South","1","New South Wales",2.065,118021567,58,11802,118,"1",50,39,1
"59","112011236","11236","Ballina","1","New South Wales",36.1299,112011236,59,11201,112,"1",51,40,1
"60","801011016","81016","Kaleen","8","Australian Capital Territory",6.0268,801011016,60,80101,801,"8",48,5,8
"61","801071074","81074","Chisholm","8","Australian Capital Territory",3.1046,801071074,61,80107,801,"8",44,5,8
"62","604011077","61077","Burnie - Wivenhoe","6","Tasmania",11.447,604011077,62,60401,604,"6",52,31,6
"63","119011572","11572","Bankstown - South","1","New South Wales",4.4232,119011572,63,11901,119,"1",49,38,1
"64","209031211","21211","Kinglake","2","Victoria",319.504,209031211,64,20903,209,"2",46,36,2
"65","407021154","41154","Naracoorte","4","South Australia",115.23,407021154,65,40702,407,"4",53,26,4
"66","801011002","81002","Belconnen","8","Australian Capital Territory",4.4261,801011002,66,80101,801,"8",48,5,8
"67","106021117","11117","Maitland - West","1","New South Wales",175.4357,106021117,67,10602,106,"1",54,29,1
"68","505011077","51077","Joondalup - Edgewater","5","Western Australia",15.6229,505011077,68,50501,505,"5",55,3,5
"69","601051032","61032","South Hobart - Fern Tree","6","Tasmania",23.4873,601051032,69,60105,601,"6",56,1,6
"70","111031222","11222","Adamstown - Kotara","1","New South Wales",8.0182,111031222,70,11103,111,"1",13,10,1
"71","203021042","21042","Highton","2","Victoria",40.587,203021042,71,20302,203,"2",57,12,2
"72","404011093","41093","Hindmarsh - Brompton","4","South Australia",7.8961,404011093,72,40401,404,"4",43,34,4
"73","124041466","11466","Richmond - Clarendon","1","New South Wales",74.6728,124041466,73,12404,124,"1",58,41,1
"74","601051031","61031","Sandy Bay","6","Tasmania",6.9463,601051031,74,60105,601,"6",56,1,6
"75","602011038","61038","Launceston","6","Tasmania",5.2803,602011038,75,60201,602,"6",2,2,6
"76","604021092","61092","Turners Beach - Forth","6","Tasmania",84.3944,604021092,76,60402,604,"6",39,31,6
"77","121041413","11413","Cremorne - Cammeray","1","New South Wales",3.2391,121041413,77,12104,121,"1",59,8,1
"78","511041285","51285","Geraldton","5","Western Australia",21.8753,511041285,78,51104,511,"5",60,42,5
"79","122021420","11420","Avalon - Palm Beach","1","New South Wales",8.6057,122021420,79,12202,122,"1",61,43,1
"80","119031374","11374","South Hurstville - Blakehurst","1","New South Wales",6.2489,119031374,80,11903,119,"1",62,38,1
"81","316061442","31442","Landsborough","3","Queensland",134.3176,316061442,81,31606,316,"3",63,14,3
"82","312021351","31351","Pioneer Valley","3","Queensland",1184.1722,312021351,82,31202,312,"3",64,44,3
"83","313051380","31380","Rothwell - Kippa-Ring","3","Queensland",15.3908,313051380,83,31305,313,"3",18,13,3
"84","304041103","31103","The Gap","3","Queensland",12.2584,304041103,84,30404,304,"3",65,45,3
"85","308031211","31211","Lakes Creek","3","Queensland",16.8069,308031211,85,30803,308,"3",66,46,3
"86","214011375","21375","Seaford (Vic.)","2","Victoria",12.4321,214011375,86,21401,214,"2",67,47,2
